track,branch,role,sdr,sir,sar
Louis_Cressy_Band_-_Good_Time,xover150d,other,-0.6356,-14.6113,4.6573
MERC_Music_-_Knockout,xover100,vocals,1.9463,1.7096,5.5588
MERC_Music_-_Knockout,xover100,bass,-4.2482,1.5603,20.5931
MERC_Music_-_Knockout,xover100,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,xover100,other,0.0937,-7.2691,6.0841
MERC_Music_-_Knockout,xover150,vocals,1.9463,1.7096,5.5588
MERC_Music_-_Knockout,xover150,bass,-3.4270,-0.2562,23.8327
MERC_Music_-_Knockout,xover150,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,xover150,other,0.0937,-7.2691,6.0841
MERC_Music_-_Knockout,xover250,vocals,1.9463,1.7096,5.5588
MERC_Music_-_Knockout,xover250,bass,-3.2879,-1.9401,25.5534
MERC_Music_-_Knockout,xover250,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,xover250,other,0.0937,-7.2691,6.0841
MERC_Music_-_Knockout,xover150d,vocals,1.9463,1.7096,5.5588
MERC_Music_-_Knockout,xover150d,bass,-0.3052,0.0201,18.0595
MERC_Music_-_Knockout,xover150d,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,xover150d,other,0.0937,-7.2691,6.0841
Moosmusic_-_Big_Dummy_Shake,xover100,vocals,3.0682,2.4575,6.2925
Moosmusic_-_Big_Dummy_Shake,xover100,bass,-4.6781,-2.1135,17.8595
Moosmusic_-_Big_Dummy_Shake,xover100,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,xover100,other,-0.4778,-7.9377,5.7958
Moosmusic_-_Big_Dummy_Shake,xover150,vocals,3.0682,2.4575,6.2925
Moosmusic_-_Big_Dummy_Shake,xover150,bass,-4.9887,-2.4685,21.3098
Moosmusic_-_Big_Dummy_Shake,xover150,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,xover150,other,-0.4778,-7.9377,5.7958
Moosmusic_-_Big_Dummy_Shake,xover250,vocals,3.0682,2.4575,6.2925
Moosmusic_-_Big_Dummy_Shake,xover250,bass,-4.5830,-2.7504,25.6835
Moosmusic_-_Big_Dummy_Shake,xover250,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,xover250,other,-0.4778,-7.9377,5.7958
Moosmusic_-_Big_Dummy_Shake,xover150d,vocals,3.0682,2.4575,6.2925
Moosmusic_-_Big_Dummy_Shake,xover150d,bass,-1.9302,-2.3002,13.5447
Moosmusic_-_Big_Dummy_Shake,xover150d,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,xover150d,other,-0.4778,-7.9377,5.7958
Motor_Tapes_-_Shore,xover100,vocals,1.5528,-0.7215,9.4147
Motor_Tapes_-_Shore,xover100,bass,-3.2562,1.2294,20.2528
Motor_Tapes_-_Shore,xover100,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,xover100,other,0.9447,-3.5942,7.7920
Motor_Tapes_-_Shore,xover150,vocals,1.5528,-0.7215,9.4147
Motor_Tapes_-_Shore,xover150,bass,-4.6927,3.4663,24.1597
Motor_Tapes_-_Shore,xover150,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,xover150,other,0.9447,-3.5942,7.7920
Motor_Tapes_-_Shore,xover250,vocals,1.5528,-0.7215,9.4147
Motor_Tapes_-_Shore,xover250,bass,-3.9470,0.2471,27.3237
Motor_Tapes_-_Shore,xover250,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,xover250,other,0.9447,-3.5942,7.7920
Motor_Tapes_-_Shore,xover150d,vocals,1.5528,-0.7215,9.4147
Motor_Tapes_-_Shore,xover150d,bass,-2.2288,4.4706,16.6061
Motor_Tapes_-_Shore,xover150d,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,xover150d,other,0.9447,-3.5942,7.7920
PR_-_Oh_No,xover100,vocals,-16.2641,-24.0566,6.1280
PR_-_Oh_No,xover100,bass,-5.6561,-6.5586,23.7353
PR_-_Oh_No,xover100,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,xover100,other,-0.7292,-16.7989,5.9085
PR_-_Oh_No,xover150,vocals,-16.2641,-24.0566,6.1280
PR_-_Oh_No,xover150,bass,-6.0567,-6.1934,27.3256
PR_-_Oh_No,xover150,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,xover150,other,-0.7292,-16.7989,5.9085
PR_-_Oh_No,xover250,vocals,-16.2641,-24.0566,6.1280
PR_-_Oh_No,xover250,bass,-6.2208,-5.0144,30.7326
PR_-_Oh_No,xover250,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,xover250,other,-0.7292,-16.7989,5.9085
PR_-_Oh_No,xover150d,vocals,-16.2641,-24.0566,6.1280
PR_-_Oh_No,xover150d,bass,-2.4453,-6.5232,11.2608
PR_-_Oh_No,xover150d,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,xover150d,other,-0.7292,-16.7989,5.9085
Punkdisco_-_Oral_Hygiene,xover100,vocals,1.9010,3.5102,7.3681
Punkdisco_-_Oral_Hygiene,xover100,bass,-4.2571,-0.4591,22.5538
Punkdisco_-_Oral_Hygiene,xover100,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,xover100,other,-5.0359,-17.0218,2.4544
Punkdisco_-_Oral_Hygiene,xover150,vocals,1.9010,3.5102,7.3681
Punkdisco_-_Oral_Hygiene,xover150,bass,-2.4700,-0.5438,23.9792
Punkdisco_-_Oral_Hygiene,xover150,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,xover150,other,-5.0359,-17.0218,2.4544
Punkdisco_-_Oral_Hygiene,xover250,vocals,1.9010,3.5102,7.3681
Punkdisco_-_Oral_Hygiene,xover250,bass,-1.3506,-0.5653,27.4499
Punkdisco_-_Oral_Hygiene,xover250,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,xover250,other,-5.0359,-17.0218,2.4544
Punkdisco_-_Oral_Hygiene,xover150d,vocals,1.9010,3.5102,7.3681
Punkdisco_-_Oral_Hygiene,xover150d,bass,0.1739,-0.0765,13.2100
Punkdisco_-_Oral_Hygiene,xover150d,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,xover150d,other,-5.0359,-17.0218,2.4544
Secretariat_-_Borderline,xover100,vocals,1.2595,0.8232,6.1477
